id,nome,categoria,acesso,custo,cobertura,entidades,conteudo_interesse,limitacoes,evidencia_url,nivel_evidencia,data_consulta,integracao_testada,schema_nativo_completo
bigballsdata,Big Balls Sports Data,APIs de futebol,API documentada; cliente pitchside já usado no projeto,Freemium,Ligas de futebol disponíveis no plano; projeto usa EPL,partida;equipe;jogador;estatistica;odd;clima,Placar; calendário; elenco; estatísticas; confrontos; odds conforme plano,A página pública mistura recursos disponíveis e roadmap; conferir cobertura por liga e endpoint. O SQL local registra colunas vazias na captura histórica.,https://bigballsdata.com/docs,documentacao,2026-09-14,False,False
api_football,API-Football / API-Sports,APIs de futebol,REST JSON com chave,Freemium,Competições globais; granularidade por liga e temporada,partida;equipe;jogador;escalacao;evento;estatistica;transferencia;indisponibilidade;odd,Jogos; gols; cartões; escalações; jogadores; transferências; ausências,Verificar flags de cobertura e paginação. Flag positiva não assegura preenchimento de todas as partidas.,https://www.api-football.com/news/post/how-to-get-started-with-api-football-the-complete-beginners-guide,documentacao,2026-09-14,False,False
sportmonks,Sportmonks Football API,APIs de futebol,REST JSON v3 com token,Comercial; opções de avaliação a consultar,Competições globais selecionadas na assinatura,partida;equipe;jogador;escalacao;evento;estatistica;transferencia;indisponibilidade;odd;noticia,Fixtures; participantes; eventos; estatísticas; xG; transferências; notícias,Includes e disponibilidade variam. Confirmar ligas e temporadas antes da contratação.,https://docs.sportmonks.com/v3/endpoints-and-entities/endpoints/fixtures/get-all-fixtures,documentacao,2026-09-14,False,False
football_data_org,football-data.org,APIs de futebol,REST JSON v4; X-Auth-Token,Freemium,Competições selecionadas,competicao;partida;equipe;jogador;classificacao,Calendário; resultados; classificação; equipes; elencos; artilheiros,"Histórico, competição e nível de detalhe dependem do plano. É diferente de football-data.co.uk.",https://docs.football-data.org/general/v4/index.html,documentacao,2026-09-14,False,False
sportradar,Sportradar Soccer,APIs de futebol,API comercial JSON/XML conforme produto,Contrato; trial a consultar,Competições globais; matriz de cobertura,competicao;partida;equipe;jogador;evento;estatistica;indisponibilidade,Live; perfis; temporadas; estatísticas; ausências; eventos,Soccer e Soccer Extended têm escopos diferentes; especificação completa depende do produto.,https://developer.sportradar.com/soccer/reference/soccer-overview,documentacao,2026-09-14,False,False
sportsdataio,SportsDataIO Soccer,APIs de futebol,API comercial com chave,Comercial,Ligas contratadas,partida;equipe;jogador;estatistica;escalacao,Calendários; resultados; times; jogadores; estatísticas,Conferir cobertura e se a amostra é simulada ou de produção.,https://sportsdata.io/developers/api-documentation/soccer,documentacao,2026-09-14,False,False
thesportsdb,TheSportsDB,APIs de futebol,API JSON,Freemium,Multiesporte; futebol e metadados comunitários,competicao;partida;equipe;jogador;midia,Equipes; jogadores; eventos; imagens; identificação,Dados comunitários; não tratar como garantia de atualização ao vivo ou licença universal das imagens.,https://www.thesportsdb.com/api.php,documentacao,2026-09-14,False,False
api_futebol,API Futebol,APIs de futebol,REST JSON com credencial,Planos a consultar,Foco no futebol brasileiro,competicao;partida;classificacao;equipe,Campeonatos; fases; rodadas; partidas; tabelas,Documentação geral retornou 403; referência de fases localizada no índice. Validar payload de partidas e cobertura contratada.,https://www.api-futebol.com.br/documentacao/fase,indice,2026-09-14,False,False
live_score_api,Live-score API,APIs de futebol,REST; JSON/XML; credenciais,Comercial; avaliação a consultar,Competições de futebol cobertas pelo serviço,competicao;partida;classificacao;equipe;evento,Livescore; calendário; resultados; tabelas; eventos,"Conferir profundidade histórica, competições e atualização por recurso.",https://live-score-api.com/documentation,documentacao,2026-09-14,False,False
goalserve,Goalserve Soccer,APIs de futebol,Feeds JSON/XML; APIs comerciais,Comercial; trial anunciado,Ligas globais disponíveis no produto,partida;jogador;estatistica;indisponibilidade;odd,Fixtures; resultados; estatísticas; perfis; lesões; odds,Endpoints e formatos dependem do pacote; dados e odds são produtos que precisam ser conferidos.,https://www.goalserve.com/en/sport-data-feeds/soccer-api/description,documentacao,2026-09-14,False,False
enetpulse,Enetpulse,APIs de futebol,Feed/API comercial,Sob consulta,Multiesporte; futebol global,partida;classificacao;equipe;jogador;estatistica,Placar; calendário; tabelas; estatísticas esportivas,Solicitar schema e matriz de ligas no contrato; página de produto não valida todos os campos.,https://enetpulse.com/,pagina,2026-09-14,False,False
